ujahr,umonat,weekday,uwochentag,long,lat,time_of_day,ustunde,light_condition,ulichtverh,street_condition,ustrzustand,uart,utyp1,ist_rad,ist_pkw,ist_fuss,ist_krad,ist_gkfz,ist_sonstige,ukategorie,accident_outcome
2018,3,Thu,5,52.43782349,13.38037403,afternoon,15,daylight,0,dry,0,2,2,0,1,0,0,1,0,3,slightly_injured
2018,11,Mon,2,52.43459822,13.49696182,afternoon,16,dark,2,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,9,Sat,7,52.55178826,13.36729936,night,3,dark,2,dry,0,9,1,0,1,0,0,0,1,2,seriously_injured
2018,8,Fri,6,52.51720857,13.43933198,evening,18,daylight,0,dry,0,8,1,0,1,0,0,0,0,3,slightly_injured
2018,6,Sat,7,52.518084,13.43094176,evening,18,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,6,Sat,7,52.5638701,13.36438027,evening,19,daylight,0,dry,0,0,1,0,0,0,1,0,0,3,slightly_injured
2018,6,Mon,2,52.5135153,13.47742678,afternoon,17,daylight,0,dry,0,5,2,1,1,0,0,0,0,3,slightly_injured
2018,8,Wed,4,52.50240978,13.44796075,morning,7,daylight,0,dry,0,6,4,0,1,1,0,0,0,2,seriously_injured
2018,5,Thu,5,52.50963693,13.37850496,morning,8,daylight,0,dry,0,2,4,1,0,1,0,0,0,3,slightly_injured
2018,4,Wed,4,52.5099301,13.28185624,morning,9,daylight,0,dry,0,3,2,0,1,0,1,0,0,3,slightly_injured
2018,12,Sat,7,52.49900142,13.28105941,afternoon,14,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,9,Fri,6,52.51437131,13.46740703,morning,9,daylight,0,dry,0,5,2,1,1,0,0,0,0,3,slightly_injured
2018,9,Sat,7,52.51086976,13.39724929,evening,20,dark,2,dry,0,1,5,1,1,0,0,0,1,3,slightly_injured
